Date,Price,Open,High,Low,Vol
1/1/21,37.795,37.4,39.082,37,99344291.78
2/1/21,38.271,37.795,39.06,36.79,105559011.1
3/1/21,41.3,38.271,41.906,37.838,230122378.4
4/1/21,41.142,41.301,43.646,38.011,268002846.3
5/1/21,41.799,41.126,41.807,38.844,167800583
6/1/21,42.288,41.806,42.328,40.53,140351595.4
7/1/21,43.57,42.286,44.928,41.3,201493806.9
8/1/21,42.394,43.566,43.69,40.054,180737744
9/1/21,43.907,42.403,44.301,41.52,130567492
10/1/21,42.399,43.911,45.2,39.786,191480239.1
11/1/21,38.104,42.394,42.464,35.13,286696120.4
12/1/21,38.275,38.114,39.998,37.135,149031276.4
13/01/2021,40.192,38.274,40.512,37,140899631
14/01/2021,41.911,40.208,42.039,39.68,123844764.4
15/01/2021,40.88,41.912,42.69,38.696,148351367.4
16/01/2021,43.171,40.882,44.226,40.689,170702878.4
17/01/2021,45.857,43.169,46.784,41,234148839.9
18/01/2021,45.442,45.861,46.967,44.145,170845051.6
19/01/2021,42.492,45.447,47.4,41.686,261881385.1
20/01/2021,42.607,42.477,42.802,40.195,168146125.5
21/01/2021,38.647,42.62,42.714,38.116,179805196.9
22/01/2021,40.863,38.648,41.426,36.81,162589322.8
23/01/2021,40.925,40.855,41.799,39.504,105153492.3
24/01/2021,41.85,40.927,42.273,40.28,76799122.46
25/01/2021,41.826,41.85,43.435,40.5,107571862.5
26/01/2021,41.873,41.835,42.556,39.876,90990712.26
27/01/2021,40.902,41.86,42.131,39.71,102243269.2
28/01/2021,42.452,40.907,42.999,40.36,94475743.4
29/01/2021,42.863,42.452,44.1,41.837,127497250.4
30/01/2021,44.744,42.869,45.156,42.6,86077046.96
31/01/2021,44.353,44.74,45.707,43.374,78544090.37
1/2/21,51.483,44.345,52.578,43.418,280811231
2/2/21,50.914,51.461,52.888,49.315,232664923.9
3/2/21,52.096,50.906,52.694,49.751,111438021.2
4/2/21,55.968,52.095,56.948,51.008,201246849.5
5/2/21,67.736,55.96,68.8,55.925,354892927.1
6/2/21,72.555,67.69,75.538,61.52,874732752.2
7/2/21,68.269,72.548,74.5,64.034,453573888.2
8/2/21,80.146,68.259,80.386,67.4,581712183.3
9/2/21,107.249,80.146,116.592,78.785,1715925645
10/2/21,128.901,107.254,148.9,107.25,3537757055
11/2/21,124.11,128.9,133.605,118,988435909.8
12/2/21,136.745,124.148,141.85,121,1055142000
13/02/2021,133.5,136.728,139,124.951,583667753.6
14/02/2021,135.844,133.5,140.417,128.541,713957618.3
15/02/2021,130.037,135.89,140.187,117.189,688852449.8
16/02/2021,130.334,130.036,134,126.2,390849638.9
17/02/2021,165.556,130.327,176.92,127,1813734286
18/02/2021,195.549,165.638,201.69,163.257,2864510514
19/02/2021,334.094,195.571,350,195,10019885962
20/02/2021,252.807,334.111,337,223.342,5912072901
21/02/2021,294.864,253.053,309.086,249.001,4155862706
22/02/2021,267.467,294.945,295.986,219,4042822267
23/02/2021,230.982,267.444,270.081,183.5,4334130732
24/02/2021,254.183,230.99,280.811,213.2,3754142486
25/02/2021,234.376,254.194,265.82,231,2266374311
26/02/2021,221.6,234.409,239.772,208.872,2289352973
27/02/2021,225.36,221.594,238,218.991,1230194961
28/02/2021,210.11,225.33,229.294,195,1653869878
1/3/21,255.033,210.196,260,209.052,2765386972
2/3/21,239.713,255.069,265.584,227.121,1915270145
3/3/21,240.499,239.673,255.387,236.054,1621177390
4/3/21,229.743,240.427,250.311,225.577,1331429562
5/3/21,225.407,229.698,231.637,215.7,1144093958
6/3/21,226.349,225.409,232.386,219.424,755801055.1
7/3/21,240.269,226.382,244.389,224.77,1058652887
8/3/21,240.555,240.283,243.394,229,895057867.6
9/3/21,293.464,240.553,298.292,235.82,3401097400
10/3/21,278.397,293.424,296.5,264,2860535755
11/3/21,290.04,278.397,316.491,272.434,3595737903
12/3/21,263.372,290.04,290.954,246.336,2640348829
13/03/2021,276.98,263.404,284.933,255.55,1448083022
14/03/2021,263.278,276.994,277.71,263.114,919002613.5
15/03/2021,254.523,263.431,268.158,249.649,1220857945
16/03/2021,258.957,254.53,259.902,240,1013265928
17/03/2021,270.149,258.964,272.598,248.624,857917831.2
18/03/2021,261.699,270.187,278.239,257.461,1083023933
19/03/2021,262.924,261.699,269.486,255.001,638127797.3
20/03/2021,264.332,262.933,274.848,261.585,724691118.5
21/03/2021,264.852,264.305,268.121,257.232,617711659.8
22/03/2021,254.967,264.852,277.607,253,1113058065
23/03/2021,255.654,254.99,263.031,252,798087983
24/03/2021,248.468,255.605,268.807,240,1024271348
25/03/2021,233.852,248.52,250.084,222.902,1195801079
26/03/2021,255.072,233.849,255.192,233.744,773587100.2
27/03/2021,269.619,255.046,276.338,248.788,1023220527
28/03/2021,268.799,269.605,281.67,261.1,1050984177
29/03/2021,275.426,268.788,278.5,264.52,716337983.7
30/03/2021,312.347,275.421,312.811,271.507,2358752334
31/03/2021,302.7,312.322,317.89,283,2415262142
1/4/21,335.334,302.702,340,301,2093682423
2/4/21,338.821,335.374,358.418,325,2338213755
3/4/21,322.235,338.721,349.8,315.2,1571363020
4/4/21,349.304,322.244,352.867,316.116,1366193754
5/4/21,368.763,349.277,381.24,335.532,2061267863
6/4/21,403.484,368.754,413.068,364.5,3014535196
7/4/21,375.947,403.499,414.784,356.777,4274347012
8/4/21,418.755,375.947,423.468,372.146,2537454716
9/4/21,454.84,418.77,454.842,405.05,2786192439
10/4/21,472.789,454.801,489.5,449.895,4164539354
11/4/21,526.179,472.86,529.909,460.8,3387721672
12/4/21,598.229,526.188,640.5,517.2,13362139663
