Date,Price,Open,High,Low,Vol,Change%
2001/1/21,29349,28939,29620,28716,244540954.1,-9.66%
2002/1/21,32183,29349.83,33292,29000,708441943.2,-2.44%
2003/1/21,32968,32185,34873,31975,623388697.2,2.97%
2004/1/21,31990,32990,33593.62,28540,789742680.9,-6.24%
2005/1/21,33985,31991,34493,29861,492205587.7,-8.17%
2006/1/21,36760,33978,36932,33335,684448833.8,-7.18%
2007/1/21,39401,36791,40383.35,36123.59,871266649.9,-2.81%
2008/1/21,40509,39387,41969,36555,882517580.3,0.84%
2009/1/21,40168,40500,41399,38700,328317500.9,4.90%
2010/1/21,38200,40170,41399,35260,726248347.9,7.31%
2011/1/21,35408,38200,38277,30635,1701086864,3.63%
2012/1/21,34123,35410,36656,32427,756744137.1,-9.48%
13/01/2021,37358.08,34104,37776,32436,556173103.8,-4.76%
14/01/2021,39136,37368,40001,36666,507510514.9,6.12%
15/01/2021,36741,39147.33,39701,34500,571371933.9,1.91%
16/01/2021,36041,36741,37997,35418,390780131.1,0.39%
17/01/2021,35900,36037,36928,33868,353516333.2,-2.23%
18/01/2021,36699,35901,37555,34842,308820397.8,2.20%
19/01/2021,35890,36685,37936.57,35863,346287602.3,1.04%
20/01/2021,35516,35888,36422,33303,502257363.5,13.08%
21/01/2021,30872,35510,35616,30196,690220114.7,-7.08%
22/01/2021,33058,30890.61,33850,28989,519675942.1,2.90%
23/01/2021,32099,33027,33554,31439.43,226783513.1,-0.69%
24/01/2021,32320,32099,33174,31011,190290821.5,0.11%
25/01/2021,32285,32327,34918,31966,298005038.7,-0.72%
26/01/2021,32519,32252,32971,30867.03,277725627.5,6.45%
27/01/2021,30421.24,32518.33,32596,29283,449828663.8,-9.70%
28/01/2021,33373,30421.24,33800,29918,306034791.1,-2.64%
29/01/2021,34253,33374,38710.7,31987,981076218.2,-0.26%
30/01/2021,34341,34284,34929,32827,250364041.5,3.50%
31/01/2021,33138,34333,34407.01,32228,192993444.6,-1.29%
2001/2/21,33566,33117.8,34707,32333,177917812.4,-5.99%
2002/2/21,35577,33569,36053.97,33500,249258041.9,-5.87%
2003/2/21,37667,35576,37677.36,35471,331728117.9,1.90%
2004/2/21,36951.55,37667,38750,36222,237216189.6,-3.54%
2005/2/21,38260,36945,38366,36571.55,171398034.9,-2.55%
2006/2/21,39234,38260.88,40985,38205,399442032.3,1.01%
2007/2/21,38837,39237,39725.72,37350,296232179.8,-19.59%
2008/2/21,46444,38841,46666,37947,1151284712,-0.09%
2009/2/21,46488,46444,48277,45060,739299778.1,3.54%
2010/2/21,44841,46485.11,47383,43777,449268688.1,-7.06%
2011/2/21,48008,44840,48598,43917.42,494500413.5,1.27%
2012/2/21,47397,48001,48945,45851.95,511380394.5,0.46%
13/02/2021,47177,47365,48209,46255,246511648.9,-2.98%
14/02/2021,48584,47177.86,49659,47030,356489505.2,1.40%
15/02/2021,47906,48597,48959,45730.5,473471914,-2.71%
16/02/2021,49203,47934,50490,47046,641648036.8,-5.92%
17/02/2021,52116,49182,52577,49000,480042151.7,1.06%
18/02/2021,51566,52110,52539,50863,302678712.2,-8.34%
19/02/2021,55866,51566,56342,50755,659547493.5,0.16%
20/02/2021,55777,55866,57485,54000,649132289.6,-2.87%
21/02/2021,57376,55787,58321.24,55386,383696431.6,5.75%
22/02/2021,54075,57374,57449,48255,1476773401,9.62%
23/02/2021,48874,54070.36,54138,45000,1593251845,-1.72%
24/02/2021,49716,48882,51354.46,46902,596727524.4,5.14%
25/02/2021,47162,49715,52189,46750,450682115.7,1.79%
26/02/2021,46318,47155,48441,44027,1034066637,0.17%
27/02/2021,46238,46270,48407,45100,351592193.2,2.03%
28/02/2021,45300,46199,46703,43171,613702602.3,-9.45%
2001/3/21,49580,45284.74,49743,45100,467086041.5,2.11%
2002/3/21,48536,49580,50148,47158,406484792.4,-3.86%
2003/3/21,50408,48511,52567,48183.35,433676835.7,4.01%
2004/3/21,48388,50409,51777,47603,462537172.1,-0.91%
2005/3/21,48830,48389,49489,46417,459836283.3,-0.06%
2006/3/21,48860,48826,49238,47159,205511883.4,-4.38%
2007/3/21,51000,48895,51442,48895,274194347.7,-2.74%
2008/3/21,52399,51011,52444,49369,322489866.8,-4.88%
2009/3/21,54955.31,52399,54955.31,51993,451234618,-1.87%
2010/3/21,55985,54955.31,57444,53155,597851202.4,-3.38%
2011/3/21,57877,55954,58266,54401,501200423.8,1.00%
2012/3/21,57297,57876,58159,55183,547894501.7,-6.82%
13/03/2021,61202.89,57293,61693,56130,838494313.2,3.60%
14/03/2021,59000,61203,61699,59000,394219504.2,5.61%
15/03/2021,55688,59001,60575,54566,823329603.8,-2.22%
16/03/2021,56924,55675,56925,53346,597507781.2,-3.38%
17/03/2021,58849,56923,59128,54001,663187135.3,2.05%
18/03/2021,57640,58867,60190,57005,417238008.5,-0.71%
19/03/2021,58049.63,57642,59480,56277,376454851.4,-0.05%
20/03/2021,58079,58049,60000,57800,393526233.7,1.23%
21/03/2021,57366,58064,58584,55357,475697536.8,5.75%
22/03/2021,54070,57341,58525,53700,471912901,-0.49%
23/03/2021,54336.8,54070,55822.33,52812,356990086.8,3.70%
24/03/2021,52328,54347,57212,51522,737084979.1,1.85%
25/03/2021,51358,52329,53116,50350,595248809.6,-7.08%
26/03/2021,54993,51357.31,55000,51300,424186238.8,-1.62%
27/03/2021,55886,54982,56655,54010,289311504.2,0.19%
28/03/2021,55780,55881,56609,54800,234980641.5,-3.40%
29/03/2021,57675,55783,58492,54831,583561977,-2.02%
30/03/2021,58840,57675,59523,57135,463332259.8,0.07%
31/03/2021,58796,58837,59899,56826,477367807.5,0.12%
2001/4/21,58724,58792.5,59483,57955,255447591.7,-0.40%
